region,dong,gubun,voters,votes,A,B,c1,c2,c3
장성군,장성읍,계,11571,7285,5646,705,217,300,149
장성군,장성읍,관내사전투표,4511,4510,3616,370,110,164,89
장성군,장성읍,선거일투표,7060,2775,2030,335,107,136,60
장성군,진원면,계,2643,1665,1272,184,60,73,19
장성군,진원면,관내사전투표,815,815,647,69,34,30,7
장성군,진원면,선거일투표,1828,850,625,115,26,43,12
장성군,남면,계,2904,1724,1330,201,54,70,25
장성군,남면,관내사전투표,1029,1029,817,96,25,44,16
장성군,남면,선거일투표,1875,695,513,105,29,26,9
장성군,동화면,계,1482,936,709,95,33,45,20
장성군,동화면,관내사전투표,505,505,411,38,20,14,8
장성군,동화면,선거일투표,977,431,298,57,13,31,12
장성군,삼서면,계,2339,1506,1153,145,49,37,34
장성군,삼서면,관내사전투표,964,964,766,68,27,20,20
장성군,삼서면,선거일투표,1375,542,387,77,22,17,14
장성군,삼계면,계,3998,2337,1716,345,60,72,43
장성군,삼계면,관내사전투표,1420,1419,1100,137,41,43,26
장성군,삼계면,선거일투표,2578,918,616,208,19,29,17
장성군,황룡면,계,2908,1738,1327,184,61,56,24
장성군,황룡면,관내사전투표,1012,1011,775,93,39,37,11
장성군,황룡면,선거일투표,1896,727,552,91,22,19,13
장성군,서삼면,계,1165,770,558,95,35,24,15
장성군,서삼면,관내사전투표,437,437,329,53,13,17,5
장성군,서삼면,선거일투표,728,333,229,42,22,7,10
장성군,북일면,계,1122,768,613,70,17,24,13
장성군,북일면,관내사전투표,494,494,399,40,10,13,8
장성군,북일면,선거일투표,628,274,214,30,7,11,5
장성군,북이면,계,2253,1498,1139,135,46,57,26
장성군,북이면,관내사전투표,1025,1025,787,72,34,35,21
장성군,북이면,선거일투표,1228,473,352,63,12,22,5
장성군,북하면,계,1611,1103,847,106,31,42,17
장성군,북하면,관내사전투표,775,775,606,57,18,30,12
장성군,북하면,선거일투표,836,328,241,49,13,12,5
장성군,잘못 투입·구분된 투표지,,0,1,1,0,0,0,0
곡성군,곡성읍,계,6566,4784,3255,1011,119,91,81
곡성군,곡성읍,관내사전투표,2824,2821,2007,502,74,54,42
곡성군,곡성읍,선거일투표,3742,1963,1248,509,45,37,39
곡성군,오곡면,계,1456,1108,727,241,34,24,29
곡성군,오곡면,관내사전투표,657,657,439,133,19,16,15
곡성군,오곡면,선거일투표,799,451,288,108,15,8,14
곡성군,삼기면,계,1360,959,605,216,37,29,22
